htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Nb. Rooms,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price
penthouse,"St Antoine, North",PDS,3,3,Common Pool,Yes,,2020,no,,,,263.0,,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,"37,839,628"
penthouse,"Bain Boeuf, North",G+2,3,3,Private Pool,Yes,,,no,,,,204.0,,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,"85,100,000"
penthouse,"Haute Rive, North",IRS,4,3,Private Pool,Yes,,,no,,,Yes,240.0,,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,"54,000,000"
penthouse,"Black River, West",PDS,4,4,Private Pool,Yes,,,no,,,,228.0,,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,"102,900,000"
penthouse,"Péreybère, North",PDS,2,2,Common Pool,Yes,3,,no,,,,104.0,,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,"18,745,020"
penthouse,"Péreybère, North",RES,3,3,Common Pool,Yes,,,no,,,Yes,452.0,,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,"160,000,000"
penthouse,"Haute Rive, North",IRS,3,3,Private Pool,Yes,3,,yes,3,4.0,Yes,514.0,,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,"65,286,000"
penthouse,"Pointe aux Biches, North",none,4,3,Common Pool,Yes,2,,no,4,,Yes,168.0,,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"26,000,000"
penthouse,"Black River, West",RES,3,3,Private Pool,Yes,3,,no,4,4.0,Yes,140.0,,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,"30,000,000"
penthouse,"Mon Choisy, North",IRS,2,2,Private Pool,Yes,3,,no,,,,200.0,,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,"49,000,000"
