htype,region,Project Type,Bedroom(s),Bathroom(s),Swimming Pool,Parking,Toilet(s),Construction Year,Garage,Air-con,Beachfront,Interior Surface New,Land Surface New,Access for Disabled People,Access to rooftop,Air Conditioning,Alarm System,Automated Garage,Balcony,Basement,Carport,Centralized Ventilation System,Close to Bus Stop,Close to Golf Course,Close to Hospital,Close to School,Close to Shops,Cooking Service,Dressing,Electric Generator,Energy Efficiency - High,Fenced,Fire Alarm System,Fireplace,Fitness Room,Freehold Land,Furnished,Garden,Guarded Parking,House Cleaning,Indoor Spa,Internet/Wi-Fi,Laundry Room,Lift,Located in a private morcellement,Located in a residential complex,Located in a senior residence,Mountain View,Office,Recently Refurbished,River View,Sea Access,Sea View,Secured Parking,Security Bars,Sewage System,Solar Panels,Solar Water Heater,Soundproof,TV Room,Tennis Court,Veranda,Watchman,Water Heater,Water Tank,Yard,price,region_main
penthouse,St Antoine,PDS,3,3.0,Common Pool,Yes,0.0,2020.0,no,0.0,no,263.0,0.0,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,37839628.0,North
penthouse,Bain Boeuf,G+2,3,3.0,Private Pool,Yes,0.0,2016.0,no,0.0,no,204.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,85100000.0,North
penthouse,Haute Rive,IRS,4,3.0,Private Pool,Yes,0.0,2016.0,no,0.0,Yes,240.0,0.0,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,54000000.0,North
penthouse,Black River,PDS,4,4.0,Private Pool,Yes,0.0,2016.0,no,0.0,no,228.0,0.0,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,102900000.0,West
penthouse,Péreybère,PDS,2,2.0,Common Pool,Yes,3.0,2016.0,no,0.0,no,104.0,0.0,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,18745020.0,North
penthouse,Péreybère,RES,3,3.0,Common Pool,Yes,0.0,2016.0,no,0.0,Yes,452.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,160000000.0,North
penthouse,Haute Rive,IRS,3,3.0,Private Pool,Yes,3.0,2016.0,yes,4.0,Yes,514.0,0.0,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,65286000.0,North
penthouse,Pointe aux Biches,none,4,3.0,Common Pool,Yes,2.0,2016.0,no,0.0,Yes,168.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,26000000.0,North
penthouse,Black River,RES,3,3.0,Private Pool,Yes,3.0,2016.0,no,4.0,Yes,140.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,30000000.0,West
penthouse,Mon Choisy,IRS,2,2.0,Private Pool,Yes,3.0,2016.0,no,0.0,no,200.0,0.0,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,49000000.0,North
penthouse,Grand Bay,G+2,3,2.0,Common Pool,Yes,0.0,2007.0,no,0.0,no,525.0,0.0,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,37665000.0,North
penthouse,Bain Boeuf,RES,3,3.0,Private Pool,Yes,0.0,2016.0,no,0.0,no,210.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,17000000.0,North
penthouse,Bain Boeuf,RES,3,3.0,Private Pool,Yes,0.0,2012.0,no,0.0,no,360.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,24000000.0,North
penthouse,St Antoine,PDS,3,2.0,Private Pool,no,0.0,2016.0,yes,0.0,no,237.0,0.0,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,40000000.0,North
penthouse,Haute Rive,IRS,3,2.0,Private Pool,no,0.0,2016.0,no,0.0,Yes,228.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,22000000.0,North
penthouse,Trou aux Biches,PDS,2,2.0,Private Pool,no,0.0,2021.0,yes,1.0,no,212.0,0.0,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,35103750.0,North
penthouse,Haute Rive,IRS,4,3.0,Common Pool,Yes,1.0,2016.0,no,0.0,no,295.0,0.0,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,24679000.0,North
penthouse,Péreybère,RES,3,2.0,Common Pool,Yes,0.0,2016.0,no,0.0,no,115.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,12500000.0,North
penthouse,Pointe d'Esny,none,4,4.0,Common Pool,Yes,4.0,2016.0,no,0.0,Yes,253.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,60000000.0,South
penthouse,Grand Bay,RES,3,3.0,Common Pool,no,0.0,2018.0,no,0.0,Yes,452.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,160000000.0,North
penthouse,Pointe aux Canonniers,G+2,3,3.0,Common Pool,Yes,3.0,2016.0,no,0.0,no,300.0,0.0,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,40000000.0,North
penthouse,Moka,G+2,3,3.0,no,Yes,0.0,2014.0,no,0.0,no,233.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,25000000.0,Center
penthouse,Mon Choisy,RES,2,2.0,Common Pool,no,0.0,2016.0,no,0.0,no,150.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,23000000.0,North
penthouse,St Antoine,PDS,4,4.0,Private Pool,no,0.0,2016.0,no,0.0,no,330.0,0.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,49000000.0,North
penthouse,Tamarin,RES,3,2.0,Common Pool,Yes,0.0,2016.0,no,0.0,no,255.0,0.0,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,39924900.0,West
penthouse,Péreybère,PDS,2,2.0,Private Pool,Yes,3.0,2016.0,no,0.0,no,104.0,0.0,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,18745020.0,North
penthouse,Péreybère,G+2,2,2.0,Private Pool,no,0.0,2016.0,no,0.0,no,181.0,0.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,17249983.0,North
penthouse,Haute Rive,IRS,4,3.0,Private Pool,Yes,3.0,2016.0,no,4.0,Yes,300.0,0.0,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,65286000.0,North
penthouse,Haute Rive,PDS,3,3.0,Private Pool,Yes,4.0,2016.0,no,0.0,no,220.0,0.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,46000000.0,North
penthouse,Tamarin,RES,3,3.0,Private Pool,no,0.0,2016.0,no,0.0,no,325.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,44000000.0,West
penthouse,Mon Choisy,IRS,3,3.0,Private Pool,Yes,0.0,2016.0,no,0.0,no,187.0,0.0,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,75000000.0,North
penthouse,Moka,Smart City,2,1.0,no,Yes,0.0,2016.0,no,0.0,no,108.0,0.0,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,10500000.0,Center
penthouse,Beau Bassin,G+2,5,3.0,no,Yes,0.0,2016.0,no,0.0,no,464.5,0.0,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,8500000.0,Center
penthouse,Grand Bay,RES,3,3.0,Common Pool,Yes,0.0,2016.0,no,0.0,Yes,452.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,160000000.0,North
penthouse,Péreybère,G+2,3,2.0,no,Yes,2.0,2016.0,no,3.0,no,186.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,7500000.0,North
penthouse,Mon Choisy,IRS,2,2.0,Private Pool,no,0.0,2018.0,no,0.0,no,139.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,30250000.0,North
penthouse,Tamarin,RES,3,3.0,Private Pool,Yes,4.0,2016.0,no,3.0,no,320.0,0.0,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,44200000.0,West
penthouse,Pointe aux Canonniers,G+2,3,3.0,Common Pool,Yes,3.0,2016.0,no,0.0,no,300.0,0.0,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,40000000.0,North
penthouse,Trou aux Biches,G+2,2,1.0,no,Yes,1.0,2016.0,no,0.0,no,100.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,16500000.0,North
penthouse,Quatre Bornes,G+2,3,2.0,no,no,2.0,2016.0,yes,0.0,no,180.0,0.0,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,9500000.0,Center
penthouse,Flic en Flac,G+2,3,2.0,Common Pool,Yes,0.0,2016.0,no,0.0,Yes,387.0,0.0,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,72335000.0,West
penthouse,Péreybère,G+2,2,2.0,Common Pool,Yes,2.0,2016.0,no,0.0,no,181.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,17249983.0,North
penthouse,Grand Bay,G+2,3,3.0,Common Pool,Yes,2.0,2016.0,no,0.0,no,209.0,0.0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,25000000.0,North
penthouse,Flic en Flac,G+2,3,2.0,Common Pool,Yes,2.0,2007.0,yes,0.0,no,135.0,0.0,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,11900000.0,West
